name,name_kana,bank_code,icon_uri,service_type,opened_at,closed_at,order,kana_order,bank_display_location
みずほ銀行,ミズホギンコウ,0001,assets/bankpay_bank_logo/0001-mizuho.png,bankpay,,,3,マ行,bankHeader
三井住友銀行,ミツイスミトモギンコウ,0009,assets/bank_logo/0009-smbc.png,"ginkopay,bankpay",,,1,マ行,bankHeader
三菱ＵＦＪ銀行,ミツビシユーエフジェイギンコウ,0005,assets/bankpay_bank_logo/0005-mufg.png,bankpay,,,2,マ行,bankHeader
ゆうちょ銀行,ユウチョギンコウ,9900,assets/bank_logo/9900-yucho.png,ginkopay,,,4,ヤ行,bankHeader
足利銀行,アシカガギンコウ,0129,assets/bankpay_bank_logo/0129-ashikaga.png,bankpay,2022-03-22 13:00:00,,4,ア行,bankKana
阿波銀行,アワギンコウ,0172,assets/bankpay_bank_logo/0172-awa.png,bankpay,,,5,ア行,bankKana
伊予銀行,イヨギンコウ,0174,assets/bankpay_bank_logo/0174-iyo.png,bankpay,,,8,ア行,bankKana
岩手銀行,イワテギンコウ,0123,assets/bankpay_bank_logo/0123-iwate.png,bankpay,,,10,ア行,bankKana
愛媛銀行,エヒメギンコウ,0576,assets/bankpay_bank_logo/0576-ehime.png,bankpay,2021-11-15 11:00:00,,11,ア行,bankKana
大垣共立銀行,オオガキキョウリツギンコウ,0152,assets/bankpay_bank_logo/0152-okb.png,bankpay,2022-03-22 13:00:00,,13,ア行,bankKana
沖縄銀行,オキナワギンコウ,0188,assets/bank_logo/0188-okinawa.png,ginkopay,2022-03-22 13:00:00,,14,ア行,bankKana
関西みらい銀行,カンサイミライギンコウ,0159,assets/bankpay_bank_logo/0159-kansaimirai.png,bankpay,,,22,カ行,bankKana
京都銀行,キョウトギンコウ,0158,assets/bankpay_bank_logo/0158-kyoto.png,bankpay,,,25,カ行,bankKana
熊本銀行,クマモトギンコウ,0587,assets/bank_logo/0587-kumamoto.png,ginkopay,,,30,カ行,bankKana
群馬銀行,グンマギンコウ,0128,assets/bankpay_bank_logo/0128-gunma.png,bankpay,2021-11-15 11:00:00,,32,カ行,bankKana
埼玉りそな銀行,サイタマリソナギンコウ,0017,assets/bankpay_bank_logo/0017-saitamaresona.png,bankpay,,,39,サ行,bankKana
三十三銀行,サンジュウサンギンコウ,0154,assets/bankpay_bank_logo/0154-33bank.png,bankpay,2022-03-22 13:00:00,,41,サ行,bankKana
静岡銀行,シズオカギンコウ,0149,assets/bankpay_bank_logo/0149-shizuoka.png,bankpay,2022-03-22 13:00:00,,44,サ行,bankKana
十八親和銀行,ジュウハチシンワギンコウ,0181,assets/bank_logo/0181-jyuhachishinwa.png,ginkopay,,,48,サ行,bankKana
十六銀行,ジュウロクギンコウ,0153,assets/bankpay_bank_logo/0153-juroku.png,bankpay,,,49,サ行,bankKana
常陽銀行,ジョウヨウギンコウ,0130,assets/bankpay_bank_logo/0130-joyo.png,bankpay,2022-03-22 13:00:00,,50,サ行,bankKana
千葉興業銀行,チバコウギョウギンコウ,0135,assets/bankpay_bank_logo/0135-chibakogyo.png,bankpay,2021-11-15 11:00:00,,61,タ行,bankKana
東和銀行,トウワギンコウ,0516,assets/bankpay_bank_logo/0516-towa.png,bankpay,2022-03-22 13:00:00,,68,タ行,bankKana
徳島大正銀行,トクシマタイショウギンコウ,0572,assets/bankpay_bank_logo/0572-tokushimataisho.png,bankpay,2021-11-15 11:00:00,,69,タ行,bankKana
長野銀行,ナガノギンコウ,0533,assets/bankpay_bank_logo/0533-nagano.png,bankpay,,,75,ナ行,bankKana
西日本シティ銀行,ニシニホンシティギンコウ,0190,assets/bankpay_bank_logo/0190-nc.png,bankpay,,,82,ナ行,bankKana
八十二銀行,ハチジュウニギンコウ,0143,assets/bankpay_bank_logo/0143-hachijuni.png,bankpay,2021-11-15 11:00:00,,84,ハ行,bankKana
百五銀行,ヒャクゴギンコウ,0155,assets/bankpay_bank_logo/0155-hyakugo.png,bankpay,,,87,ハ行,bankKana
広島銀行,ヒロシマギンコウ,0169,assets/bank_logo/0169-hiroshima.png,ginkopay,,,89,ハ行,bankKana
福岡銀行,フクオカギンコウ,0177,assets/bank_logo/0177-fukuoka.png,ginkopay,,,92,ハ行,bankKana
福島銀行,フクシマギンコウ,0513,assets/bankpay_bank_logo/0513-fukushima.png,bankpay,,,94,ハ行,bankKana
北陸銀行,ホクリクギンコウ,0144,assets/bank_logo/0144-hokuriku.png,ginkopay,,,97,ハ行,bankKana
北海道銀行,ホッカイドウギンコウ,0116,assets/bank_logo/0116-hokkaido.png,ginkopay,,,99,ハ行,bankKana
宮崎太陽銀行,ミヤザキタイヨウギンコウ,0591,assets/bankpay_bank_logo/0591-miyazakitaiyo.png,bankpay,2021-11-15 11:00:00,,104,マ行,bankKana
横浜銀行,ヨコハマギンコウ,0138,assets/bank_logo/0138-yokohama.png,ginkopay,2021-11-15 11:00:00,,109,ヤ行,bankKana
りそな銀行,リソナギンコウ,0010,assets/bankpay_bank_logo/0010-resona.png,bankpay,,,110,ラ行,bankKana
愛知県中央信用組合,アイチケンチュウオウシンヨウクミアイ,2451,,bankpay,2022-03-22 13:00:00,,1,ア行,labourBankAndCreditUnionKana
あかぎ信用組合,アカギシンヨウクミアイ,2143,,bankpay,2022-03-22 13:00:00,,2,ア行,labourBankAndCreditUnionKana
秋田県信用組合,アキタケンシンヨウクミアイ,2075,,bankpay,2022-03-22 13:00:00,,3,ア行,labourBankAndCreditUnionKana
